"fips","race","sex","TotalSuspensions","TotalEnrollment","Suspension_Rates"
45,6,1,320,955,0.335078534031414
45,6,2,146,785,0.185987261146497
45,7,1,8956,16133,0.555135436682576
45,7,2,4742,14676,0.323112564731534
46,1,1,9028,63183,0.142886535935299
46,1,2,2816,55529,0.0507122404509355
46,2,1,1168,3001,0.3892035988004
46,2,2,364,2575,0.141359223300971
46,3,1,1150,5169,0.222480170245695
46,3,2,452,4310,0.104872389791183
46,4,1,158,1738,0.0909090909090909
46,4,2,28,1706,0.0164126611957796
46,5,1,5120,9845,0.52006094464195
46,5,2,2606,8519,0.305904448878976
46,6,1,20,94,0.212765957446809
46,6,2,24,97,0.247422680412371
46,7,1,1008,2787,0.361679224973089
46,7,2,324,2555,0.126810176125245
47,1,1,103406,396613,0.260722669201463
47,1,2,41472,346957,0.119530662301092
47,2,1,98334,138103,0.71203377189489
47,2,2,56922,123744,0.459998060512025
47,3,1,14542,72069,0.201778850823516
47,3,2,6874,63709,0.107896843460108
47,4,1,1532,13662,0.112135851266286
47,4,2,582,13094,0.0444478387047503
47,5,1,588,1351,0.435233160621762
47,5,2,284,1259,0.225575853852264
47,6,1,210,843,0.249110320284698
47,6,2,116,808,0.143564356435644
47,7,1,4600,12276,0.374714890843923
47,7,2,2282,11648,0.195913461538462
48,1,1,218208,946534,0.230533715640431
48,1,2,79790,828066,0.0963570536648045
48,2,1,254682,415495,0.612960444770695
48,2,2,139578,365663,0.381712122910986
48,3,1,487188,2105333,0.231406623085279
48,3,2,235606,1896341,0.124242422644451
48,4,1,11668,147544,0.0790814943338936
48,4,2,3992,133677,0.0298630280452135
48,5,1,5046,15468,0.32622187742436
48,5,2,2350,13834,0.169871331502096
48,6,1,1720,5657,0.304048082022273
48,6,2,832,5300,0.156981132075472
48,7,1,27334,68495,0.399065625228119
48,7,2,11824,62629,0.188794328505964
49,1,1,16420,305216,0.0537979660306144
49,1,2,4902,270374,0.0181304415365383
49,2,1,1428,6651,0.214704555705909
49,2,2,406,5626,0.0721649484536082
49,3,1,7200,87369,0.0824090924698692
49,3,2,2802,78161,0.0358490807435934
49,4,1,294,8053,0.0365081336148019
49,4,2,88,7761,0.0113387450070867
49,5,1,658,5175,0.127149758454106
49,5,2,232,4665,0.0497320471596999
49,6,1,606,6589,0.091971467597511
49,6,2,290,5797,0.0500258754528204
49,7,1,764,9738,0.0784555350174574
49,7,2,268,8426,0.031806313790648
50,1,1,7324,47993,0.152605588314963
50,1,2,2706,41461,0.0652661537348351
50,2,1,544,1585,0.343217665615142
50,2,2,246,1366,0.1800878477306
50,3,1,170,946,0.179704016913319
50,3,2,50,824,0.0606796116504854
50,4,1,86,1438,0.0598052851182197
50,4,2,50,1368,0.0365497076023392
50,5,1,82,319,0.25705329153605
50,5,2,76,300,0.253333333333333
50,6,1,0,76,0
50,6,2,4,82,0.0487804878048781
50,7,1,214,1402,0.152639087018545
50,7,2,82,1273,0.0644147682639434
51,1,1,73920,405400,0.182338431179082
51,1,2,27232,349195,0.0779850799696445
51,2,1,92774,187636,0.494436035728751
51,2,2,49860,163567,0.304829213716703
51,3,1,21844,153293,0.142498352827592
51,3,2,9314,132589,0.0702471547413435
51,4,1,3226,57011,0.0565855712055568
51,4,2,1070,51072,0.0209508145363409
51,5,1,962,2659,0.361790146671681
51,5,2,468,2607,0.1795166858458
51,6,1,324,1523,0.212738017071569
51,6,2,160,1411,0.113394755492558
51,7,1,11136,39750,0.280150943396226
51,7,2,5084,35536,0.143066186402521
53,1,1,58282,384937,0.151406593806259
53,1,2,19390,333039,0.0582214095045926
53,2,1,11818,34479,0.342759360770324
53,2,2,4962,29659,0.167301662227317
53,3,1,30782,192506,0.159901509563338
53,3,2,12032,169372,0.0710388966299034
53,4,1,3818,54577,0.0699562086593254
53,4,2,1126,48791,0.0230780266852493
53,5,1,3630,10348,0.350792423656745
53,5,2,1836,8900,0.206292134831461
53,6,1,2276,8220,0.276885644768856
53,6,2,988,7498,0.131768471592425
53,7,1,12372,51836,0.238675823751833
53,7,2,4894,45303,0.108028165905128
54,1,1,55086,159694,0.344947211542074
54,1,2,21888,138143,0.158444510398645
54,2,1,5980,8036,0.744151319064211
54,2,2,2908,6681,0.435264182008681
54,3,1,994,3291,0.302035855363112
54,3,2,518,2930,0.17679180887372
54,4,1,166,1402,0.118402282453638
54,4,2,110,1390,0.079136690647482
54,5,1,88,239,0.368200836820084
54,5,2,8,213,0.0375586854460094
54,6,1,12,130,0.0923076923076923
54,6,2,12,134,0.0895522388059701
54,7,1,2068,4308,0.480037140204271
54,7,2,872,3769,0.231361103741045
55,1,1,46228,376380,0.122822679207184
55,1,2,15164,326588,0.0464315896481193
55,2,1,26554,54936,0.4833624581331
55,2,2,16406,46215,0.354992967651195
55,3,1,11816,77217,0.153023297978424
